tissue	cell_fraction	n	mean	median	sd
non_tumor	B cells memory	37	0.02121853152525006	0.00164296976673678	0.029629710244952177
non_tumor	B cells naive	37	0.016596010673861794	0.00986224242477875	0.02228995674178026
non_tumor	Dendritic cells activated	37	0.0032627650958630193	0	0.007167295690493266
non_tumor	Dendritic cells resting	37	0.01206986040640654	0.0117049197348745	0.011374990063631902
non_tumor	Eosinophils	37	1.9505070281942554e-4	0	8.824852095473525e-4
non_tumor	Macrophages M0	37	0.006162595240391575	0	0.02351869084895038
non_tumor	Macrophages M1	37	0.07390536701258585	0.0594710487126072	0.042810477548190576
non_tumor	Macrophages M2	37	0.20998582670068422	0.21331302629992	0.06676990691995881
non_tumor	Mast cells activated	37	0.05603649321687833	0.0581461959647814	0.03643274626393956
non_tumor	Mast cells resting	37	0.003990216167856211	0	0.010558230615245565
non_tumor	Monocytes	37	0.03533914925493853	0.0252711900011623	0.031727839611109906
non_tumor	NK cells activated	37	0.0544736649368872	0.0502745872691297	0.027614765950632125
non_tumor	NK cells resting	37	0.007836969004281592	0	0.017567135792722018
non_tumor	Neutrophils	37	0.026755478109229066	0.0271337315390877	0.017421911918849935
non_tumor	Plasma cells	37	0.17939018244866933	0.16780917905594	0.05627630479337288
non_tumor	T cells CD4 memory activated	37	0	0	0
non_tumor	T cells CD4 memory resting	37	0.12034732166063053	0.126549873948456	0.061641699507292674
non_tumor	T cells CD4 naive	37	0	0	0
non_tumor	T cells CD8	37	0.10944200290361687	0.119871402959663	0.041956738939833406
non_tumor	T cells follicular helper	37	0.04280214539460175	0.0429764093886346	0.031567030561112555
non_tumor	T cells gamma delta	37	0.011699347205235203	0	0.01995138902300441
non_tumor	T cells regulatory (Tregs)	37	0.00849102233931293	0	0.011693903968876157
tumor	B cells memory	70	0.025262446987284304	3.48568647686185e-4	0.037252478800938925
tumor	B cells naive	70	0.021193199028953353	0.00891100566468074	0.02671035019636055
tumor	Dendritic cells activated	70	0.010757483392032299	0	0.018153999374155485
tumor	Dendritic cells resting	70	0.013257933562653765	0.00728317749992381	0.01869844381178671
tumor	Eosinophils	70	4.19718804615823e-4	0	0.0023067457494971634
tumor	Macrophages M0	70	0.04809580904594486	0.02027399358479335	0.07185712594290528
tumor	Macrophages M1	70	0.061857339879888194	0.05525986994857095	0.04474858049217544
tumor	Macrophages M2	70	0.20894422904066268	0.2055543345274355	0.10270239923572032
tumor	Mast cells activated	70	0.028551214482215665	0.0142644166578076	0.03585093073102566
tumor	Mast cells resting	70	0.017021204466308604	0	0.03182602907634922
tumor	Monocytes	70	0.03662874615924055	0.03196192963296335	0.030224557954007678
tumor	NK cells activated	70	0.05835503951653669	0.06325418899671695	0.03284610450218251
tumor	NK cells resting	70	0.011423342186371723	0	0.025581100439841988
tumor	Neutrophils	70	0.023488873732689174	0.0136687069374695	0.02895760807439406
tumor	Plasma cells	70	0.08967288440081149	0.07075469940939674	0.05237286906265224
tumor	T cells CD4 memory activated	70	2.8723813711257567e-5	0	2.40320667418206e-4
tumor	T cells CD4 memory resting	70	0.16729759043172862	0.1448512567696835	0.10505079771399542
tumor	T cells CD4 naive	70	4.039802599940986e-4	0	0.0033799413504590524
tumor	T cells CD8	70	0.09889066612306471	0.0953598005158606	0.056768631213995814
tumor	T cells follicular helper	70	0.04817459001110961	0.042833747515564846	0.043855973367052326
tumor	T cells gamma delta	70	0.0015776472800314355	0	0.004641215900762132
tumor	T cells regulatory (Tregs)	70	0.028697337394151142	0.020911028321769998	0.030169809285230702
